CustomerID,Cluster,BehaviorSegment,TotalMRR,TotalSeats,TotalLogins,AvgActiveUsers,TotalAPICalls,TotalSessionMinutes,TicketCount,AvgResolutionHours,TenureYears,RetentionRecommendation
C1034,3,Support-Heavy At-Risk Customers,2578.28,10.0,0.0,0.0,0.0,0.0,3.0,37.53333333333334,1.6618754277891854,"Prioritize support resolution, proactive outreach and issue-resolution follow-up."
C1035,1,Low-Engagement New Customers,1978.68,5.0,171.0,5.105263157894737,28076.0,5400.6,7.0,35.285714285714285,3.263518138261465,"Provide onboarding assistance, product education and early engagement campaigns."
C1036,1,Low-Engagement New Customers,80.36,9.0,168.0,6.0,31827.0,3956.6,6.0,32.26666666666667,3.0882956878850103,"Provide onboarding assistance, product education and early engagement campaigns."
C1037,3,Support-Heavy At-Risk Customers,1978.68,5.0,42.0,2.090909090909091,6623.0,1911.7,3.0,50.06666666666667,2.5790554414784395,"Prioritize support resolution, proactive outreach and issue-resolution follow-up."
C1038,2,Growing Active Customers,246.76,4.0,71.0,2.7142857142857144,9156.0,1877.9,4.0,49.275,3.3894592744695413,Encourage feature adoption and plan expansion while engagement is strong.
C1039,1,Low-Engagement New Customers,76.44,8.0,83.0,1.9090909090909092,27844.0,5371.4,2.0,11.65,3.509924709103354,"Provide onboarding assistance, product education and early engagement campaigns."
C1040,2,Growing Active Customers,326.36,9.0,92.0,4.545454545454546,17865.0,2545.6,4.0,42.3,2.614647501711157,Encourage feature adoption and plan expansion while engagement is strong.
C1041,2,Growing Active Customers,437.8,16.0,111.0,4.3076923076923075,17426.0,3163.5,2.0,34.5,2.737850787132101,Encourage feature adoption and plan expansion while engagement is strong.
C1042,1,Low-Engagement New Customers,60.76,4.0,311.0,9.15,33162.0,5195.7,3.0,23.7,3.373032169746749,"Provide onboarding assistance, product education and early engagement campaigns."
C1043,1,Low-Engagement New Customers,698.6,6.0,173.0,5.5,13399.0,3300.2,2.0,16.1,3.1704312114989732,"Provide onboarding assistance, product education and early engagement campaigns."
C1044,2,Growing Active Customers,246.76,4.0,78.0,6.833333333333333,4675.0,1085.2,3.0,19.233333333333334,2.21492128678987,Encourage feature adoption and plan expansion while engagement is strong.
C1045,3,Support-Heavy At-Risk Customers,2578.28,10.0,61.0,4.285714285714286,14787.0,1688.4,5.0,30.420000000000005,2.291581108829569,"Prioritize support resolution, proactive outreach and issue-resolution follow-up."
C1046,3,Support-Heavy At-Risk Customers,2098.6,3.0,35.0,0.625,12343.0,2652.6,6.0,46.65,3.058179329226557,"Prioritize support resolution, proactive outreach and issue-resolution follow-up."
C1047,2,Growing Active Customers,80.36,9.0,140.0,10.285714285714286,7995.0,1636.1999999999998,1.0,32.6,2.316221765913758,Encourage feature adoption and plan expansion while engagement is strong.
C1048,1,Low-Engagement New Customers,658.68,5.0,62.0,1.6111111111111112,28335.0,3478.9,3.0,27.7,3.1704312114989732,"Provide onboarding assistance, product education and early engagement campaigns."
C1049,3,Support-Heavy At-Risk Customers,4676.88,16.0,32.0,6.0,5258.0,685.9000000000001,7.0,19.37142857142857,1.9685147159479808,"Prioritize support resolution, proactive outreach and issue-resolution follow-up."
C1050,3,Support-Heavy At-Risk Customers,1825.3600000000001,10.0,101.0,4.636363636363637,7638.0,2242.5,3.0,20.6,3.2142368240930868,"Prioritize support resolution, proactive outreach and issue-resolution follow-up."
C1051,2,Growing Active Customers,262.68,5.0,92.0,10.4,4768.0,1286.3,5.0,29.540000000000003,2.1492128678986995,Encourage feature adoption and plan expansion while engagement is strong.
C1052,2,Growing Active Customers,390.04,13.0,92.0,7.375,10723.0,2131.9,4.0,31.1,2.3764544832306638,Encourage feature adoption and plan expansion while engagement is strong.
C1053,2,Growing Active Customers,310.44,8.0,84.0,2.8666666666666667,8093.0,2017.3999999999999,2.0,41.15,3.3374401095140316,Encourage feature adoption and plan expansion while engagement is strong.
C1054,2,Growing Active Customers,818.36,9.0,14.0,4.5,4910.0,824.9,3.0,40.5,1.8617385352498288,Encourage feature adoption and plan expansion while engagement is strong.
C1055,1,Low-Engagement New Customers,68.6,6.0,134.0,3.5555555555555554,20493.0,2621.9,3.0,28.366666666666664,3.5044490075290895,"Provide onboarding assistance, product education and early engagement campaigns."
C1056,2,Growing Active Customers,658.68,5.0,14.0,1.0,14097.0,1681.6999999999998,4.0,36.875,2.1546885694729636,Encourage feature adoption and plan expansion while engagement is strong.
C1057,1,Low-Engagement New Customers,76.44,8.0,260.0,9.714285714285714,14388.0,3077.1,1.0,2.8,2.869267624914442,"Provide onboarding assistance, product education and early engagement campaigns."
C1058,2,Growing Active Customers,64.68,5.0,45.0,4.6,4003.0,724.0,1.0,4.0,2.078028747433265,Encourage feature adoption and plan expansion while engagement is strong.
C1059,2,Growing Active Customers,658.68,5.0,113.0,11.833333333333334,4999.0,1587.3,2.0,24.700000000000003,2.193018480492813,Encourage feature adoption and plan expansion while engagement is strong.
C1060,1,Low-Engagement New Customers,80.36,9.0,385.0,12.444444444444445,31791.0,4374.7,2.0,57.1,3.2142368240930868,"Provide onboarding assistance, product education and early engagement campaigns."
C1061,1,Low-Engagement New Customers,310.44,8.0,266.0,8.31578947368421,16514.0,5155.2,2.0,37.45,3.3155373032169746,"Provide onboarding assistance, product education and early engagement campaigns."
C1062,0,High-Value Highly Engaged,358.2,11.0,6.0,0.6666666666666666,2946.0,438.0,2.0,42.9,3.3155373032169746,"Use proactive account management, loyalty benefits and expansion opportunities."
C1063,2,Growing Active Customers,56.84,3.0,52.0,2.5,12377.0,1460.6,4.0,43.95,3.29637234770705,Encourage feature adoption and plan expansion while engagement is strong.
C1064,2,Growing Active Customers,68.6,6.0,88.0,3.9,16026.0,2546.0,1.0,22.1,2.513347022587269,Encourage feature adoption and plan expansion while engagement is strong.
C1065,0,High-Value Highly Engaged,898.2,11.0,90.0,3.1333333333333333,19830.0,4097.7,4.0,32.825,2.91854893908282,"Use proactive account management, loyalty benefits and expansion opportunities."
C1066,2,Growing Active Customers,88.2,11.0,32.0,2.6666666666666665,8966.0,1407.7,3.0,46.63333333333333,2.187542778918549,Encourage feature adoption and plan expansion while engagement is strong.
C1067,1,Low-Engagement New Customers,326.36,9.0,139.0,7.545454545454546,23539.0,2360.9,6.0,44.21666666666667,2.622861054072553,"Provide onboarding assistance, product education and early engagement campaigns."
C1068,2,Growing Active Customers,262.68,5.0,5.0,0.5,1291.0,625.5999999999999,2.0,38.225,1.88911704312115,Encourage feature adoption and plan expansion while engagement is strong.
C1069,1,Low-Engagement New Customers,80.36,9.0,262.0,8.294117647058824,17132.0,4548.9,2.0,9.05,3.1129363449691994,"Provide onboarding assistance, product education and early engagement campaigns."
C1070,2,Growing Active Customers,64.68,5.0,0.0,0.0,0.0,0.0,3.0,11.933333333333332,1.6646132785763177,Encourage feature adoption and plan expansion while engagement is strong.
C1071,2,Growing Active Customers,326.36,9.0,82.0,10.25,7361.0,969.3,4.0,38.45,2.0369609856262834,Encourage feature adoption and plan expansion while engagement is strong.
C1072,1,Low-Engagement New Customers,278.6,6.0,368.0,10.047619047619047,45924.0,4879.2,8.0,38.4875,3.4277891854893907,"Provide onboarding assistance, product education and early engagement campaigns."
C1073,1,Low-Engagement New Customers,84.28,10.0,150.0,5.0588235294117645,29996.0,4698.9,4.0,47.4,3.0992470910335386,"Provide onboarding assistance, product education and early engagement campaigns."
C1074,2,Growing Active Customers,294.52,7.0,22.0,4.0,3339.0,647.0,5.0,44.6,1.9548254620123204,Encourage feature adoption and plan expansion while engagement is strong.
C1075,2,Growing Active Customers,738.52,7.0,39.0,2.75,12737.0,2030.6,5.0,26.360000000000003,2.401095140314853,Encourage feature adoption and plan expansion while engagement is strong.
C1076,3,Support-Heavy At-Risk Customers,2542.6400000000003,19.0,97.0,5.75,3740.0,1196.6,3.0,45.56666666666666,2.3326488706365502,"Prioritize support resolution, proactive outreach and issue-resolution follow-up."
C1077,2,Growing Active Customers,80.36,9.0,64.0,3.5,21829.0,2317.6,4.0,22.175,2.543463381245722,Encourage feature adoption and plan expansion while engagement is strong.
C1078,2,Growing Active Customers,76.44,8.0,32.0,1.3,12136.0,2280.5,8.0,25.3875,2.546201232032854,Encourage feature adoption and plan expansion while engagement is strong.
C1079,2,Growing Active Customers,778.44,8.0,73.0,7.166666666666667,8715.0,1308.6,5.0,22.240000000000002,2.1546885694729636,Encourage feature adoption and plan expansion while engagement is strong.
C1080,2,Growing Active Customers,310.44,8.0,29.0,1.75,11010.0,1817.1999999999998,2.0,19.0,2.3901437371663246,Encourage feature adoption and plan expansion while engagement is strong.
C1081,2,Growing Active Customers,64.68,5.0,21.0,0.8888888888888888,6779.0,2164.7,3.0,47.53333333333333,2.4832306639288158,Encourage feature adoption and plan expansion while engagement is strong.
C1082,2,Growing Active Customers,294.52,7.0,92.0,5.857142857142857,8629.0,1994.1,6.0,51.81666666666666,2.302532511978097,Encourage feature adoption and plan expansion while engagement is strong.
C1083,2,Growing Active Customers,80.36,9.0,63.0,3.1,21976.0,2616.3,1.0,69.2,2.568104038329911,Encourage feature adoption and plan expansion while engagement is strong.
C1084,2,Growing Active Customers,294.52,7.0,0.0,0.0,0.0,0.0,5.0,19.22,1.6865160848733745,Encourage feature adoption and plan expansion while engagement is strong.
C1085,2,Growing Active Customers,618.76,4.0,109.0,7.5,5745.0,1269.1000000000001,2.0,6.95,3.274469541409993,Encourage feature adoption and plan expansion while engagement is strong.
C1086,1,Low-Engagement New Customers,818.36,9.0,46.0,1.0,24023.0,5188.8,2.0,51.25,3.4086242299794662,"Provide onboarding assistance, product education and early engagement campaigns."
C1087,2,Growing Active Customers,60.76,4.0,10.0,3.0,4931.0,369.0,4.0,51.0,1.891854893908282,Encourage feature adoption and plan expansion while engagement is strong.
C1088,1,Low-Engagement New Customers,310.44,8.0,65.0,1.631578947368421,25835.0,4372.1,3.0,46.4,3.238877481177276,"Provide onboarding assistance, product education and early engagement campaigns."
C1089,2,Growing Active Customers,72.52,9.0,22.0,1.125,9825.0,2563.9,4.0,52.925,2.329911019849418,Encourage feature adoption and plan expansion while engagement is strong.
C1090,2,Growing Active Customers,326.36,9.0,9.0,1.3333333333333333,2140.0,551.8,3.0,30.566666666666666,1.9712525667351128,Encourage feature adoption and plan expansion while engagement is strong.
C1091,2,Growing Active Customers,618.76,4.0,13.0,3.0,1649.0,739.0999999999999,3.0,51.166666666666664,1.8535249828884326,Encourage feature adoption and plan expansion while engagement is strong.
C1092,2,Growing Active Customers,68.6,6.0,7.0,2.0,3097.0,221.8,2.0,40.55,1.8042436687200547,Encourage feature adoption and plan expansion while engagement is strong.
C1093,1,Low-Engagement New Customers,658.68,5.0,263.0,7.95,32589.0,5688.2,5.0,22.14,3.3292265571526354,"Provide onboarding assistance, product education and early engagement campaigns."
C1094,1,Low-Engagement New Customers,1858.76,4.0,377.0,9.363636363636363,34990.0,5469.5,2.0,25.799999999999997,3.5592060232717317,"Provide onboarding assistance, product education and early engagement campaigns."
C1095,1,Low-Engagement New Customers,72.52,7.0,170.0,4.0,25465.0,5224.7,2.0,50.900000000000006,3.6139630390143735,"Provide onboarding assistance, product education and early engagement campaigns."
C1096,2,Growing Active Customers,310.44,8.0,151.0,7.5,14710.0,2549.2,5.0,22.48,2.5516769336071183,Encourage feature adoption and plan expansion while engagement is strong.
C1097,2,Growing Active Customers,68.6,6.0,4.0,2.0,142.0,350.7,5.0,31.339999999999996,1.7522245037645447,Encourage feature adoption and plan expansion while engagement is strong.
C1098,2,Growing Active Customers,818.36,9.0,78.0,4.222222222222222,10967.0,2559.7,3.0,30.46666666666667,2.4202600958247777,Encourage feature adoption and plan expansion while engagement is strong.
C1099,2,Growing Active Customers,88.2,11.0,69.0,2.5384615384615383,9438.0,1938.2,3.0,6.166666666666667,3.6030116358658453,Encourage feature adoption and plan expansion while engagement is strong.
C1100,3,Support-Heavy At-Risk Customers,2098.6,6.0,99.0,8.333333333333334,4439.0,1477.6,2.0,37.6,2.16290212183436,"Prioritize support resolution, proactive outreach and issue-resolution follow-up."
C1101,1,Low-Engagement New Customers,294.52,7.0,166.0,3.739130434782609,20407.0,5621.4,2.0,42.3,3.583846680355921,"Provide onboarding assistance, product education and early engagement campaigns."
C1102,1,Low-Engagement New Customers,2218.52,7.0,329.0,8.227272727272727,27520.0,5287.599999999999,2.0,22.400000000000002,3.5236139630390144,"Provide onboarding assistance, product education and early engagement campaigns."
C1103,3,Support-Heavy At-Risk Customers,3057.96,14.0,205.0,7.055555555555555,19629.0,4535.4,2.0,45.45,3.156741957563313,"Prioritize support resolution, proactive outreach and issue-resolution follow-up."
C1104,2,Growing Active Customers,72.52,7.0,14.0,2.0,3179.0,731.8,1.0,68.5,1.9575633127994525,Encourage feature adoption and plan expansion while engagement is strong.
C1105,1,Low-Engagement New Customers,698.6,6.0,218.0,5.0,40850.0,6135.1,2.0,32.0,3.652292950034223,"Provide onboarding assistance, product education and early engagement campaigns."
C1106,2,Growing Active Customers,199.0,1.0,19.0,2.75,5248.0,1062.8000000000002,3.0,21.0,1.9876796714579055,Encourage feature adoption and plan expansion while engagement is strong.
C1107,0,High-Value Highly Engaged,64.68,5.0,131.0,5.230769230769231,9557.0,1669.5,4.0,34.625,2.8008213552361396,"Use proactive account management, loyalty benefits and expansion opportunities."
C1108,1,Low-Engagement New Customers,68.6,6.0,319.0,8.125,14818.0,5954.4,2.0,32.05,3.696098562628337,"Provide onboarding assistance, product education and early engagement campaigns."
C1109,1,Low-Engagement New Customers,262.68,5.0,397.0,9.478260869565217,22170.0,5452.4,6.0,57.800000000000004,3.597535934291581,"Provide onboarding assistance, product education and early engagement campaigns."
C1110,2,Growing Active Customers,294.52,7.0,70.0,6.166666666666667,7955.0,1803.8,1.0,11.2,2.1546885694729636,Encourage feature adoption and plan expansion while engagement is strong.
C1111,2,Growing Active Customers,658.68,5.0,97.0,8.142857142857142,13354.0,2055.6,6.0,35.766666666666666,2.236824093086927,Encourage feature adoption and plan expansion while engagement is strong.
C1112,1,Low-Engagement New Customers,72.52,7.0,197.0,7.1875,12639.0,2096.45,7.0,27.97142857142857,3.1704312114989732,"Provide onboarding assistance, product education and early engagement campaigns."
C1113,3,Support-Heavy At-Risk Customers,2578.28,10.0,75.0,14.5,5941.0,898.3,5.0,42.620000000000005,2.0342231348391513,"Prioritize support resolution, proactive outreach and issue-resolution follow-up."
C1114,2,Growing Active Customers,80.36,9.0,43.0,13.5,7252.0,711.9,2.0,54.7,1.8288843258042438,Encourage feature adoption and plan expansion while engagement is strong.
C1115,2,Growing Active Customers,88.2,11.0,32.0,2.75,4271.0,919.5,5.0,39.64,2.023271731690623,Encourage feature adoption and plan expansion while engagement is strong.
C1116,2,Growing Active Customers,80.36,9.0,3.0,2.0,1626.0,206.0,5.0,34.059999999999995,1.8151950718685832,Encourage feature adoption and plan expansion while engagement is strong.
C1117,2,Growing Active Customers,738.52,7.0,21.0,5.0,1511.0,839.0999999999999,3.0,27.03333333333333,2.6611909650924024,Encourage feature adoption and plan expansion while engagement is strong.
C1118,2,Growing Active Customers,278.6,6.0,25.0,1.5,2732.0,1294.8,1.0,27.8,2.190280629705681,Encourage feature adoption and plan expansion while engagement is strong.
C1119,1,Low-Engagement New Customers,72.52,7.0,143.0,4.333333333333333,31571.0,4465.8,3.0,44.76666666666667,3.159479808350445,"Provide onboarding assistance, product education and early engagement campaigns."
C1120,2,Growing Active Customers,310.44,8.0,53.0,4.428571428571429,6893.0,2091.4,2.0,52.349999999999994,2.2642026009582477,Encourage feature adoption and plan expansion while engagement is strong.
C1121,1,Low-Engagement New Customers,1858.76,4.0,361.0,9.047619047619047,16589.0,5596.4,3.0,32.800000000000004,3.4524298425735798,"Provide onboarding assistance, product education and early engagement campaigns."
C1122,2,Growing Active Customers,310.44,8.0,51.0,3.25,11495.0,1316.7,3.0,33.86666666666667,2.4695414099931554,Encourage feature adoption and plan expansion while engagement is strong.
C1123,2,Growing Active Customers,92.12,12.0,103.0,8.0,8648.0,2245.8,5.0,31.339999999999996,2.379192334017796,Encourage feature adoption and plan expansion while engagement is strong.
C1124,2,Growing Active Customers,278.6,6.0,27.0,3.2,5295.0,1553.3,1.0,4.9,2.127310061601643,Encourage feature adoption and plan expansion while engagement is strong.
C1125,1,Low-Engagement New Customers,88.2,11.0,171.0,6.928571428571429,12809.0,1938.2,5.0,55.94000000000001,3.274469541409993,"Provide onboarding assistance, product education and early engagement campaigns."
C1126,1,Low-Engagement New Customers,96.04,13.0,198.0,8.733333333333333,18920.0,4027.4,4.0,29.05,2.9568788501026693,"Provide onboarding assistance, product education and early engagement campaigns."
C1127,1,Low-Engagement New Customers,278.6,6.0,173.0,9.1,17903.0,2411.2,6.0,39.733333333333334,2.5270362765229293,"Provide onboarding assistance, product education and early engagement campaigns."
C1128,1,Low-Engagement New Customers,88.2,11.0,325.0,11.6875,29390.0,3862.2,2.0,37.0,2.9897330595482545,"Provide onboarding assistance, product education and early engagement campaigns."
C1129,0,High-Value Highly Engaged,858.28,10.0,57.0,4.0,3842.0,1717.3,3.0,35.666666666666664,2.3326488706365502,"Use proactive account management, loyalty benefits and expansion opportunities."
C1130,1,Low-Engagement New Customers,80.36,9.0,181.0,10.8,18465.0,2618.8,3.0,18.866666666666664,2.4996577686516086,"Provide onboarding assistance, product education and early engagement campaigns."
C1131,1,Low-Engagement New Customers,525.36,10.0,129.0,3.0952380952380953,23099.0,4145.5,4.0,39.4,3.3921971252566734,"Provide onboarding assistance, product education and early engagement campaigns."
C1132,2,Growing Active Customers,775.04,14.0,37.0,1.0769230769230769,9322.0,2167.1,0.0,34.905,2.8008213552361396,Encourage feature adoption and plan expansion while engagement is strong.
C1133,2,Growing Active Customers,80.36,9.0,0.0,0.0,0.0,0.0,1.0,32.4,1.6646132785763177,Encourage feature adoption and plan expansion while engagement is strong.
C1134,1,Low-Engagement New Customers,56.84,3.0,453.0,9.666666666666666,31979.0,5912.55,6.0,40.15,3.652292950034223,"Provide onboarding assistance, product education and early engagement campaigns."
C1135,1,Low-Engagement New Customers,246.76,4.0,159.0,6.785714285714286,18102.0,3275.8,3.0,62.9,2.844626967830253,"Provide onboarding assistance, product education and early engagement campaigns."
C1136,2,Growing Active Customers,294.52,7.0,47.0,2.7777777777777777,12966.0,2207.4,0.0,34.905,2.4750171115674195,Encourage feature adoption and plan expansion while engagement is strong.
C1137,2,Growing Active Customers,342.28,10.0,110.0,7.75,8261.0,1366.6,6.0,30.616666666666664,3.1293634496919918,Encourage feature adoption and plan expansion while engagement is strong.
C1138,2,Growing Active Customers,84.28,10.0,50.0,8.333333333333334,3912.0,601.3000000000001,5.0,26.080000000000002,1.9110198494182067,Encourage feature adoption and plan expansion while engagement is strong.
C1139,1,Low-Engagement New Customers,68.6,6.0,211.0,6.0,33461.0,4953.2,4.0,49.300000000000004,3.19233401779603,"Provide onboarding assistance, product education and early engagement campaigns."
C1140,2,Growing Active Customers,278.6,6.0,36.0,3.75,1991.0,781.7,7.0,46.228571428571435,2.195756331279945,Encourage feature adoption and plan expansion while engagement is strong.
C1141,1,Low-Engagement New Customers,278.6,6.0,136.0,3.0869565217391304,28450.0,6789.9,4.0,33.575,3.5811088295687883,"Provide onboarding assistance, product education and early engagement campaigns."
C1142,1,Low-Engagement New Customers,326.36,9.0,270.0,6.863636363636363,27711.0,5823.3,4.0,28.05,3.564681724845996,"Provide onboarding assistance, product education and early engagement campaigns."
C1143,2,Growing Active Customers,88.2,11.0,98.0,3.25,10005.0,2354.3,4.0,52.824999999999996,3.594798083504449,Encourage feature adoption and plan expansion while engagement is strong.
C1144,3,Support-Heavy At-Risk Customers,2698.2,11.0,216.0,10.916666666666666,22209.0,3397.3,3.0,32.23333333333333,2.6940451745379876,"Prioritize support resolution, proactive outreach and issue-resolution follow-up."
C1145,1,Low-Engagement New Customers,68.6,6.0,313.0,7.681818181818182,23925.0,6105.9,5.0,54.06,3.4962354551676933,"Provide onboarding assistance, product education and early engagement campaigns."
C1146,1,Low-Engagement New Customers,294.52,7.0,132.0,2.8333333333333335,24680.0,5860.7,2.0,30.5,3.6906228610540723,"Provide onboarding assistance, product education and early engagement campaigns."
C1147,1,Low-Engagement New Customers,262.68,5.0,173.0,6.071428571428571,13087.0,3993.0,2.0,43.7,2.8829568788501025,"Provide onboarding assistance, product education and early engagement campaigns."
C1148,2,Growing Active Customers,778.44,8.0,18.0,1.75,3392.0,832.8000000000001,1.0,68.6,2.0561259411362083,Encourage feature adoption and plan expansion while engagement is strong.
C1149,1,Low-Engagement New Customers,1978.68,5.0,71.0,1.8571428571428572,23494.0,5919.3,5.0,31.920000000000005,3.4250513347022586,"Provide onboarding assistance, product education and early engagement campaigns."
C1150,2,Growing Active Customers,578.84,3.0,0.0,0.0,0.0,0.0,3.0,45.0,1.6947296372347707,Encourage feature adoption and plan expansion while engagement is strong.
C1151,2,Growing Active Customers,778.44,8.0,132.0,4.529411764705882,10874.0,1887.0,1.0,61.7,3.184120465434634,Encourage feature adoption and plan expansion while engagement is strong.
C1152,2,Growing Active Customers,294.52,7.0,19.0,1.4,4282.0,880.5,5.0,39.660000000000004,2.1437371663244353,Encourage feature adoption and plan expansion while engagement is strong.
C1153,2,Growing Active Customers,618.76,4.0,30.0,2.2,7219.0,1156.8,1.0,12.7,2.1245722108145104,Encourage feature adoption and plan expansion while engagement is strong.
C1154,2,Growing Active Customers,723.3599999999999,10.0,8.0,1.3333333333333333,3649.0,657.9000000000001,1.0,77.3,1.9055441478439425,Encourage feature adoption and plan expansion while engagement is strong.
C1155,3,Support-Heavy At-Risk Customers,2098.6,6.0,97.0,2.875,21903.0,4323.0,3.0,40.46666666666667,2.9869952087611225,"Prioritize support resolution, proactive outreach and issue-resolution follow-up."
